domain,dem_prop,rep_prop,bias_score
benraylujan.com,0.0003494635249638,0.0,
bentoneveningnews.com,0.0,0.0001732050978691,
benzinga.com,3.391958547216603e-05,0.0,0.1686
beraforcongress.com,0.0003536386987321,0.0,
bergmanforcongress.com,0.0,0.0004351011782337,
berkeley.edu,2.1830828799087218e-05,1.897730273661264e-05,
berkshireeagle.com,2.257110783601795e-05,0.0,-0.5639
berthoudsurveyor.com,7.424998740415219e-05,0.0,
bestlawyers.com,0.0,7.814183479781674e-07,
bet.com,1.522753978966511e-05,2.673567062011016e-05,-0.6425
bethel.com,0.0,0.0005425368984813,
bethel.tv,0.0,1.1349171244444814e-06,
bethesdamagazine.com,2.8063978290043964e-05,0.0,-0.3741
bettergov.org,3.3534640372962054e-06,0.0,
beyersubaru.com,7.4027903693072975e-09,0.0,
bgdailynews.com,7.4027903693072975e-09,6.90531952028802e-05,0.3749
bgindependentmedia.org,0.0,7.9072094735886e-06,
bgov.com,0.0003505961518903,0.0006989415018689,
bhhsinrealty.com,0.0,1.674467888524645e-07,
bigcountryhomepage.com,7.164420519415601e-05,6.573216722397299e-05,
bigcountrynewsconnection.com,0.0,6.087621034725152e-05,
bigeasymagazine.com,0.0,4.033607091468255e-05,
biggsforcongress.com,0.0,0.0004327476205904,
bigrapidsnews.com,0.0003238646758668,0.0004531482210322,
bikeportland.org,1.2222006899726347e-05,0.0,-0.7641
bilirakisforcongress.com,0.0,0.0004267567465892,
billboard.com,1.2495910143390715e-05,0.0,-0.1904
billflores.com,0.0,0.000275980215827,
billfoster.com,0.0003574659413531,0.0,
billingsgazette.com,5.888179459747024e-05,9.264458723231632e-05,-0.2894
billjohnsonleads.com,0.0,5.302481646994708e-06,
billmoyers.com,2.7812283417487515e-05,0.0,-0.7531
billpascrell.com,0.0003124569759077,0.0,
billposey.com,0.0,0.000444859604984,
billtrack50.com,0.0006057851415011,0.0008502389781965,
billylongforcongress.com,0.0,0.0004427386123252,
billypenn.com,3.386036314921157e-05,0.0,-0.5542
binghamtonhomepage.com,0.0001770155233108,0.0,
biodefensecommission.org,7.4027903693072975e-09,0.0,
biography.com,0.0005838654792176,0.0003798716457105,-0.1339
biologicaldiversity.org,7.402790369307298e-08,0.0,-0.6743
biometricupdate.com,7.4027903693072975e-09,0.0,
bioworld.com,7.115562102978174e-05,8.111866659963833e-06,
birminghamtimes.com,7.27398181688135e-05,0.0,
bismarcktribune.com,2.975921728461533e-06,0.0,-0.2806
bisnow.com,0.0,0.0001277898076925,0.0022
bitcoinexchangeguide.com,3.020338470677377e-06,0.0,
bizjournals.com,0.0004614233265092,0.0004582181376947,0.1077
bizwest.com,4.195901581323376e-05,0.0,0.0719
bjm.org,0.0,0.0004299382355774,
bklyner.com,6.425622040558734e-06,0.0,-0.5374
bkreader.com,7.726292308446026e-05,0.0,-0.9467
blabbermouth.net,0.0,0.000130561982308,0.2207
blackchronicle.com,2.0853660470338656e-05,0.0,
blackenterprise.com,0.0001411341983908,1.242827277260514e-05,-0.6226
blackhillsfox.com,0.0,2.083782261275113e-05,
blackpast.org,7.4027903693072975e-09,0.0,-0.5633
blackprwire.com,6.455233202035963e-06,0.0,
blackstarnews.com,4.4416742215843785e-08,0.0,
blaineforcongress.com,0.0,0.0004439200424466,
bleachernation.com,6.455233202035963e-06,0.0,0.3859
bleacherreport.com,2.2089926462012974e-05,0.0,0.3017
blockislandtimes.com,4.204044650729614e-05,0.0,
blogspot.com,0.0,1.2744561151548683e-06,
bloodhorse.com,1.1104185553960945e-07,0.0,0.3343
bloomberg.com,0.0004354913518456,0.0001539394145516,-0.0792
bloombergenvironment.com,0.0,3.683829354754218e-06,
bloomberglaw.com,0.0004978376523359,0.000257533161255,
bloombergquint.com,7.66929082260236e-06,0.0,-0.0665
bloombergtax.com,0.0002088401191085,3.85499718335896e-05,
blountmemorial.org,0.0,4.837351677960084e-07,
bluemountaineagle.com,5.195278281179861e-05,7.395566507650513e-06,
bluenalu.com,0.0,1.8605198761384943e-08,
bluevirginia.us,3.498558728534629e-05,5.44853245727158e-05,-0.7884
bmj.com,5.922232295445837e-08,0.0,-0.31
bnd.com,3.874620479295439e-05,0.0002877387014441,0.2513
bobbyrushbluesman.com,0.0003542827414943,0.0,
bobbyscottforcongress.com,0.0003506775825844,0.0,
bobgibbsforcongress.com,0.0,0.0004504876776094,
bohemian.com,1.1163407876915404e-05,0.0,
boingboing.net,3.1091719551090646e-06,4.1861697213116125e-07,-0.5065
boisestatepublicradio.org,0.0,4.660602289726927e-06,
bonamiciforcongress.com,0.0003549489926275,0.0,
bondbuyer.com,1.784812758039989e-05,6.613217899734277e-05,-0.2742
bonnersferryherald.com,0.0,8.662580543300828e-05,
bonnieforcongress.com,0.0003557929107296,0.0,
boonevilledemocrat.com,0.0,1.6223733319927667e-05,
borderreport.com,9.844970912141776e-05,0.0,
borderzine.com,5.16418656162877e-05,0.0,
borgenmagazine.com,3.5030004027562126e-05,0.0,
bosoxinjection.com,3.0055328899387624e-06,0.0,
bossierpress.com,0.0,0.000144906590553,
bostforcongress.com,0.0,0.0004467294274596,
boston.com,0.0001466344716352,3.3396331776685967e-06,-0.2612
boston.gov,0.0003250195111644,0.0,-0.6765
boston25news.com,1.8766073586194e-05,2.6810091415155697e-05,
bostonglobe.com,0.0007550327981367,6.959274596696037e-05,-0.3452
bostonherald.com,0.0007165160798452,5.798310193985616e-05,0.0754
bouldercityreview.com,2.317073385593184e-06,0.0,
boulevardsentinel.com,0.000110027673259,0.0,
boundingintocomics.com,2.8870882440298457e-07,0.0,
bowdoin.edu,6.455233202035963e-06,0.0,
boxrec.com,4.2018238136188215e-05,0.0,
bozemandailychronicle.com,0.0004760364346983,0.0002091875522736,-0.0883
bradenton.com,1.878087916693261e-05,0.0002786407592498,0.3184
bradfordera.com,0.0,4.26245103623329e-05,
bradsherman.com,0.0003547417144972,0.0,
bradyforcongress.com,0.0,0.0004486922759289,
brainerddispatch.com,2.2089926462012974e-05,5.401089200430048e-05,
bravewords.com,0.0,1.664235029205883e-05,
brctv13.com,1.9343491234999968e-05,0.0,
breakingdefense.com,0.0,3.776855348561143e-06,0.1669
brendalawrence.com,0.0003525504885478,0.0,
brenhambanner.com,0.0,1.0437516505136951e-05,
brettguthrie.com,0.0,0.0004541249939672,
brianfitzpatrick.com,0.0,0.0004454642739438,
bridgemi.com,0.0001176155333875,0.0,-0.4094
brindisiforcongress.com,0.0003607009607444,0.0,
