domain,cmpt_rank,is_home_district,category,counts
abc13.com,3.0,False,news,1164
abc13.com,3.0,True,news,1
abc13.com,4.0,False,news,3007
abc13.com,4.0,True,news,7
abc13.com,5.0,False,news,19162
abc13.com,5.0,True,news,43
abc13.com,6.0,False,news,11445
abc13.com,6.0,True,news,24
abc13.com,7.0,False,news,4501
abc13.com,7.0,True,news,14
abc13.com,8.0,False,news,1668
abc13.com,8.0,True,news,5
abc13.com,9.0,False,news,142
abc13.com,10.0,False,news,19
abc13.com,10.0,True,news,1
abc13.com,11.0,False,news,257
abc13.com,11.0,True,news,1
abc13.com,12.0,False,news,23
abc13.com,13.0,False,news,1
abc15.com,0.0,False,news,3
abc15.com,1.0,False,news,1553
abc15.com,1.0,True,news,3
abc15.com,2.0,False,news,1824
abc15.com,2.0,True,news,5
abc15.com,3.0,False,news,1817
abc15.com,3.0,True,news,3
abc15.com,4.0,False,news,1089
abc15.com,4.0,True,news,4
abc15.com,5.0,False,news,5105
abc15.com,5.0,True,news,9
abc15.com,6.0,False,news,5603
abc15.com,6.0,True,news,12
abc15.com,7.0,False,news,6346
abc15.com,7.0,True,news,18
abc15.com,8.0,False,news,1720
abc15.com,8.0,True,news,4
abc15.com,9.0,False,news,43
abc15.com,10.0,False,news,741
abc15.com,10.0,True,news,2
abc15.com,11.0,False,news,1052
abc15.com,11.0,True,news,2
abc15.com,12.0,False,news,2
abc15.com,13.0,False,news,1
abc17news.com,1.0,False,news,157
abc17news.com,2.0,False,news,651
abc17news.com,2.0,True,news,1
abc17news.com,3.0,False,news,5737
abc17news.com,3.0,True,news,12
abc17news.com,4.0,False,news,20545
abc17news.com,4.0,True,news,51
abc17news.com,5.0,False,news,41514
abc17news.com,5.0,True,news,85
abc17news.com,6.0,False,news,46318
abc17news.com,6.0,True,news,95
abc17news.com,7.0,False,news,29400
abc17news.com,7.0,True,news,72
abc17news.com,8.0,False,news,10740
abc17news.com,8.0,True,news,25
abc17news.com,9.0,False,news,1524
abc17news.com,9.0,True,news,12
abc17news.com,10.0,False,news,8
abc23.com,1.0,False,news,1
abc23.com,1.0,True,news,1
abc23.com,2.0,False,news,442
abc23.com,3.0,False,news,350
abc23.com,3.0,True,news,1
abc23.com,4.0,False,news,275
abc23.com,4.0,True,news,2
abc23.com,5.0,False,news,745
abc23.com,5.0,True,news,2
abc23.com,6.0,False,news,2550
abc23.com,6.0,True,news,6
abc23.com,7.0,False,news,790
abc23.com,8.0,False,news,66
abc27.com,1.0,False,news,522
abc27.com,1.0,True,news,3
abc27.com,2.0,False,news,326
abc27.com,2.0,True,news,2
abc27.com,3.0,False,news,3153
abc27.com,3.0,True,news,3
abc27.com,4.0,False,news,11740
abc27.com,4.0,True,news,27
abc27.com,5.0,False,news,12654
abc27.com,5.0,True,news,23
abc27.com,6.0,False,news,17113
abc27.com,6.0,True,news,39
abc27.com,7.0,False,news,11538
abc27.com,7.0,True,news,23
abc27.com,8.0,False,news,3372
abc27.com,8.0,True,news,9
abc27.com,9.0,False,news,394
abc27.com,9.0,True,news,2
abc27.com,10.0,False,news,182
abc27.com,10.0,True,news,1
abc27.com,11.0,False,news,134
abc27.com,11.0,True,news,1
abc27.com,12.0,False,news,14
