domain,cmpt_rank,is_home_district,counts
abbyfinkenauer.com,6.0,False,390
abc10.com,0.0,False,2
abc10.com,1.0,False,1866
abc10.com,1.0,True,5
abc10.com,2.0,False,2794
abc10.com,2.0,True,6
abc10.com,3.0,False,3327
abc10.com,3.0,True,8
abc10.com,4.0,False,13174
abc10.com,4.0,True,21
abc10.com,5.0,False,20666
abc10.com,5.0,True,37
abc10.com,6.0,False,13546
abc10.com,6.0,True,23
abc10.com,7.0,False,8241
abc10.com,7.0,True,11
abc10.com,8.0,False,4120
abc10.com,8.0,True,16
abc10.com,9.0,False,5570
abc10.com,9.0,True,10
abc10.com,10.0,False,2858
abc10.com,10.0,True,7
abc10.com,11.0,False,710
abc10.com,12.0,False,97
abc10.com,12.0,True,1
abc10up.com,3.0,False,2
abc10up.com,4.0,False,517
abc10up.com,4.0,True,1
abc10up.com,5.0,False,2668
abc10up.com,5.0,True,6
abc10up.com,6.0,False,45
abc10up.com,7.0,False,2
abc10up.com,8.0,False,985
abc10up.com,8.0,True,3
abc11.com,0.0,False,26
abc11.com,1.0,False,1788
abc11.com,1.0,True,2
abc11.com,2.0,False,513
abc11.com,2.0,True,2
abc11.com,3.0,False,649
abc11.com,3.0,True,3
abc11.com,4.0,False,3293
abc11.com,4.0,True,6
abc11.com,5.0,False,2812
abc11.com,5.0,True,9
abc11.com,6.0,False,3096
abc11.com,6.0,True,2
abc11.com,7.0,False,1568
abc11.com,7.0,True,5
abc11.com,8.0,False,331
abc11.com,8.0,True,2
abc11.com,9.0,False,258
abc11.com,9.0,True,1
abc11.com,10.0,False,34
abc11.com,10.0,True,1
abc11.com,11.0,False,80
abc12.com,1.0,False,2452
abc12.com,1.0,True,4
abc12.com,2.0,False,2633
abc12.com,2.0,True,7
abc12.com,3.0,False,5096
abc12.com,3.0,True,7
abc12.com,4.0,False,2599
abc12.com,4.0,True,6
abc12.com,5.0,False,4504
abc12.com,5.0,True,2
abc12.com,6.0,False,4705
abc12.com,6.0,True,11
abc12.com,7.0,False,2170
abc12.com,7.0,True,3
abc12.com,8.0,False,1004
abc12.com,8.0,True,2
abc12.com,9.0,False,326
abc12.com,9.0,True,1
abc12.com,10.0,False,1
abc13.com,1.0,False,131
abc13.com,1.0,True,1
abc13.com,2.0,False,79
abc13.com,3.0,False,1164
abc13.com,3.0,True,1
abc13.com,4.0,False,3007
abc13.com,4.0,True,7
abc13.com,5.0,False,19162
abc13.com,5.0,True,43
abc13.com,6.0,False,11445
abc13.com,6.0,True,24
abc13.com,7.0,False,4501
abc13.com,7.0,True,14
abc13.com,8.0,False,1668
abc13.com,8.0,True,5
abc13.com,9.0,False,142
abc13.com,10.0,False,19
abc13.com,10.0,True,1
abc13.com,11.0,False,257
abc13.com,11.0,True,1
abc13.com,12.0,False,23
abc13.com,13.0,False,1
abc15.com,0.0,False,3
abc15.com,1.0,False,1553
abc15.com,1.0,True,3
abc15.com,2.0,False,1824
abc15.com,2.0,True,5
abc15.com,3.0,False,1817
abc15.com,3.0,True,3
abc15.com,4.0,False,1089
abc15.com,4.0,True,4
abc15.com,5.0,False,5105
abc15.com,5.0,True,9
abc15.com,6.0,False,5603
abc15.com,6.0,True,12
abc15.com,7.0,False,6346
abc15.com,7.0,True,18
abc15.com,8.0,False,1720
abc15.com,8.0,True,4
abc15.com,9.0,False,43
abc15.com,10.0,False,741
abc15.com,10.0,True,2
abc15.com,11.0,False,1052
abc15.com,11.0,True,2
abc15.com,12.0,False,2
abc15.com,13.0,False,1
abc17news.com,1.0,False,157
abc17news.com,2.0,False,651
abc17news.com,2.0,True,1
abc17news.com,3.0,False,5737
abc17news.com,3.0,True,12
abc17news.com,4.0,False,20545
abc17news.com,4.0,True,51
abc17news.com,5.0,False,41514
abc17news.com,5.0,True,85
abc17news.com,6.0,False,46318
abc17news.com,6.0,True,95
abc17news.com,7.0,False,29400
abc17news.com,7.0,True,72
abc17news.com,8.0,False,10740
abc17news.com,8.0,True,25
abc17news.com,9.0,False,1524
abc17news.com,9.0,True,12
abc17news.com,10.0,False,8
abc23.com,1.0,False,1
abc23.com,1.0,True,1
abc23.com,2.0,False,442
abc23.com,3.0,False,350
abc23.com,3.0,True,1
abc23.com,4.0,False,275
abc23.com,4.0,True,2
abc23.com,5.0,False,745
abc23.com,5.0,True,2
abc23.com,6.0,False,2550
abc23.com,6.0,True,6
abc23.com,7.0,False,790
abc23.com,8.0,False,66
abc27.com,1.0,False,522
abc27.com,1.0,True,3
abc27.com,2.0,False,326
abc27.com,2.0,True,2
abc27.com,3.0,False,3153
abc27.com,3.0,True,3
abc27.com,4.0,False,11740
abc27.com,4.0,True,27
abc27.com,5.0,False,12654
abc27.com,5.0,True,23
abc27.com,6.0,False,17113
abc27.com,6.0,True,39
abc27.com,7.0,False,11538
abc27.com,7.0,True,23
abc27.com,8.0,False,3372
abc27.com,8.0,True,9
abc27.com,9.0,False,394
abc27.com,9.0,True,2
abc27.com,10.0,False,182
abc27.com,10.0,True,1
abc27.com,11.0,False,134
