domain,serp_rank,is_home_district,category,counts
5280.com,16.0,True,news,9
5280.com,17.0,False,news,372
5280.com,17.0,True,news,1
5280.com,18.0,False,news,2
560theanswer.com,8.0,False,news,11
560theanswer.com,9.0,False,news,82
560theanswer.com,10.0,False,news,112
560theanswer.com,11.0,False,news,22
560theanswer.com,12.0,False,news,120
560theanswer.com,13.0,False,news,16
560theanswer.com,19.0,False,news,5
5newsonline.com,4.0,False,news,858
5newsonline.com,5.0,False,news,544
5newsonline.com,5.0,True,news,7
5newsonline.com,6.0,False,news,2913
5newsonline.com,6.0,True,news,3
5newsonline.com,7.0,False,news,6378
5newsonline.com,7.0,True,news,4
5newsonline.com,8.0,False,news,2935
5newsonline.com,8.0,True,news,2
5newsonline.com,9.0,False,news,893
5newsonline.com,9.0,True,news,2
5newsonline.com,10.0,False,news,4509
5newsonline.com,10.0,True,news,10
5newsonline.com,11.0,False,news,4958
5newsonline.com,11.0,True,news,28
5newsonline.com,12.0,False,news,2457
5newsonline.com,12.0,True,news,6
5newsonline.com,13.0,False,news,470
5newsonline.com,13.0,True,news,1
5newsonline.com,14.0,False,news,581
5newsonline.com,15.0,False,news,1002
5newsonline.com,15.0,True,news,1
5newsonline.com,16.0,False,news,190
5newsonline.com,16.0,True,news,2
5newsonline.com,17.0,False,news,68
5newsonline.com,18.0,False,news,18
5newsonline.com,19.0,False,news,17
5newsonline.com,20.0,False,news,5
5newsonline.com,23.0,False,news,1
5newsonline.com,24.0,False,news,279
5newsonline.com,25.0,False,news,9
5newsonline.com,26.0,False,news,441
5newsonline.com,26.0,True,news,2
5newsonline.com,29.0,False,news,89
6abc.com,3.0,False,news,25
6abc.com,5.0,False,news,5
6abc.com,6.0,False,news,1448
6abc.com,7.0,False,news,1091
6abc.com,8.0,False,news,2289
6abc.com,8.0,True,news,1
6abc.com,9.0,False,news,3027
6abc.com,9.0,True,news,5
6abc.com,10.0,False,news,5743
6abc.com,10.0,True,news,9
6abc.com,11.0,False,news,1768
6abc.com,11.0,True,news,4
6abc.com,12.0,False,news,2810
6abc.com,12.0,True,news,5
6abc.com,13.0,False,news,261
6abc.com,13.0,True,news,1
6abc.com,14.0,False,news,439
6abc.com,14.0,True,news,1
6abc.com,15.0,False,news,202
6abc.com,16.0,False,news,5
6abc.com,18.0,False,news,1
6abc.com,19.0,False,news,4
6abc.com,20.0,False,news,260
6abc.com,21.0,False,news,3
6abc.com,22.0,False,news,29
6abc.com,23.0,False,news,22
6amcity.com,7.0,False,news,4056
6amcity.com,7.0,True,news,9
6amcity.com,8.0,False,news,3198
6amcity.com,8.0,True,news,8
6amcity.com,9.0,False,news,33
710keel.com,2.0,False,news,1
710keel.com,3.0,False,news,387
710keel.com,4.0,False,news,761
710keel.com,4.0,True,news,2
710keel.com,5.0,False,news,82
710keel.com,6.0,False,news,316
710keel.com,7.0,False,news,73
710keel.com,7.0,True,news,1
710keel.com,8.0,False,news,17
710keel.com,9.0,False,news,65
710keel.com,10.0,False,news,9
710keel.com,11.0,False,news,363
710keel.com,12.0,False,news,64
710keel.com,13.0,False,news,6
710keel.com,14.0,False,news,60
710keel.com,14.0,True,news,1
710keel.com,15.0,False,news,134
710keel.com,16.0,False,news,97
710keel.com,17.0,False,news,22
710keel.com,18.0,False,news,52
