domain,dem_prop,rep_prop
altamontenterprise.com,2.2324878286389266e-05,0.0
altavistajournal.com,0.0,1.241986930997742e-05
alternet.org,2.6082413148675646e-06,3.112605623502951e-05
altoday.com,4.412572635426633e-06,6.997442973474978e-05
altoonamirror.com,0.0,4.82434775902936e-05
alxnow.com,8.378528607348545e-06,0.0
am920theanswer.com,0.0,8.936806330057553e-07
am970theanswer.com,0.0,2.459531314767976e-06
amarillo.com,0.0,1.248097567804619e-05
amazinavenue.com,8.396393273888734e-06,0.0
amazon.com,1.6078199886169917e-07,1.68806341789976e-05
amchp.org,8.932333270094398e-08,0.0
american.edu,5.4159714061005706e-05,0.0
americanbanker.com,6.408651376850395e-05,0.00017069300090409928
americanbazaaronline.com,0.00011893699493573028,0.0
americandope.com,0.0,7.6382960085962e-09
americanindependent.com,5.156933741267833e-06,4.149886221470315e-05
americanprogress.org,5.9548888467295995e-09,0.0
americansall.org,5.9548888467295995e-09,0.0
americansecuritynews.com,9.317019089593131e-05,0.0
americansecurityproject.org,5.632133871236855e-05,0.0
americustimesrecorder.com,0.00011310715875478201,0.0
ameripriseadvisors.com,0.0,2.215105842492898e-07
amestrib.com,7.264964393010111e-06,9.471487050659287e-06
amgreatness.com,1.0123311039440319e-07,0.0
ammoland.com,3.5729333080377596e-08,0.0
amnews.com,0.0,6.874466407736579e-08
amny.com,6.927322195400543e-05,0.0
amodeifornevada.com,0.0,0.00018677161400219427
amsterdamnews.com,5.246257073968777e-06,0.0
anchoragepress.com,0.0,7.6382960085962e-09
andnowuknow.com,1.0391281037543151e-05,0.0
andrecarson.com,0.00028552501042299083,0.0
andthevalleyshook.com,0.0,4.5829776051577195e-08
andybarrforcongress.com,0.0,0.00035402738170242523
andybiggs.com,0.0,9.015480778946094e-05
andyharris.com,0.0,0.0003658285490357064
andykimforcongress.com,0.00033148484254204985,0.0
andykimmusic.com,0.00023636144810439125,0.0
andylevin.com,5.883430180568844e-06,0.0
andylevinforcongress.com,0.00029833993122115293,0.0
angelusnews.com,1.6798741436624198e-05,6.235141031817077e-05
angiecraig.com,0.00028085042267830807,0.0
annaeshoo4congress.com,0.000284375716875572,0.0
annanews.com,0.0,1.6208464130241135e-05
annistonstar.com,0.0,3.901641601190939e-05
annwagner.com,0.0,0.00035779306163466316
anthonybrown.com,0.00029076531260811286,0.0
antimusic.com,0.0,3.330297059747943e-06
apa.org,5.306401451320746e-05,0.0
apnews.com,0.0018782374460358296,0.001842097295209111
app.com,0.00021606123202589004,0.0
appeal-democrat.com,4.643026833795068e-05,0.0
apr.org,0.0,1.9164484685567863e-05
arabamericannews.com,1.0147130594827237e-05,0.0
arabianbusiness.com,2.596331537174105e-06,0.0
architecturaldigest.com,2.4010111830013744e-05,0.0
archives.gov,0.00015620864422741086,0.0
argonautnews.com,1.310075546280512e-07,0.0
argus-press.com,9.083587446801331e-05,0.0001730455960747469
argusleader.com,1.2749417020848071e-05,2.8888035504510826e-05
arizona.edu,0.0,7.6382960085962e-09
arkansas.gov,8.336844385421439e-08,0.0
arkansasbusiness.com,0.0,3.330297059747943e-05
arkansasonline.com,7.1577763937689786e-06,0.0007101094650311629
arklatexhomepage.com,2.7547315804971125e-05,0.00012076145989590591
arktimes.com,0.0,0.00011971501334272824
arlnow.com,3.40798288698335e-05,0.0
armenianweekly.com,0.00018285081692767907,1.2366401237917247e-05
armenpress.am,2.620151092561024e-07,0.0
armradio.am,2.155669762516115e-05,1.0640146339974506e-05
armstrongnd.com,0.0,0.00035759446593843966
armytimes.com,5.216482629735129e-06,1.320661379886283e-05
arrl.org,0.0,9.807572075037521e-05
artnet.com,6.8719417291259575e-06,0.0
artstation.com,0.0,3.072122654657391e-05
arvadapress.com,1.4750259673349217e-05,0.0
as.com,0.0001888712095517227,0.0
asbarez.com,1.0379371259849691e-05,3.292105579704962e-06
ase.org,1.7906350762115904e-05,0.0002675542325891077
ashepostandtimes.com,0.0,3.411262997439063e-05
