url,title,path,qry
https://www.facebook.com/congressman-tom-mcclintock-81125319109/,Congressman Tom McClintock - Home | Facebook,congressman-tom-mcclintock-81125319109,Tom McClintock
https://www.facebook.com/JohnRoseforTN/posts/happy-anniversary-to-my-wife-chelsea-who-is-truly-my-partner-in-life-and-is-a-wo/748755128842205/,,JohnRoseforTN,John Rose
https://www.facebook.com/captclayhiggins/,Captain Clay Higgins - Home | Facebook,captclayhiggins,Clay Higgins
https://www.facebook.com/CongresswomanWexton,Congresswoman Jennifer Wexton - Home | Facebook,CongresswomanWexton,Jennifer Wexton
https://www.facebook.com/RepNewhouse/videos/newhouse-votes-against-great-american-outdoors-act/616013589329306/,,RepNewhouse,Dan Newhouse
https://www.facebook.com/RepJoeCunningham/,Rep. Joe Cunningham - Home | Facebook,RepJoeCunningham,Joe Cunningham
https://www.facebook.com/RepTorresSmall/videos/congresswoman-torres-small-hometown-heroes-town-hall/830558287756331/,"Representative Xochitl Torres Small - Congresswoman Torres Small - Hometown 
Heroes Town Hall",RepTorresSmall,Xochitl Torres Small
https://www.facebook.com/RepBrianBabin/,Rep. Brian Babin - Home | Facebook,RepBrianBabin,Brian Babin
https://www.facebook.com/RepVanTaylor/posts/celebrating-the-achievements-of-tomorrows-leaders-is-always-a-highlight-of-repre/2194185224018929/,,RepVanTaylor,Van Taylor
https://www.facebook.com/MarthaRobyForCongress/,,MarthaRobyForCongress,Martha Roby
https://www.facebook.com/adriansmithfanpage/photos/d41d8cd9/1043221542500519/,,adriansmithfanpage,Adrian Smith
https://www.facebook.com/RogerMarshallMD/,"Congressman Roger Marshall, M.D. - Home | Facebook",RogerMarshallMD,Roger Marshall
https://www.facebook.com/philarballo2020/videos/devin-nunes-unfit-to-serve/215851986370213/,Phil Arballo for Congress - Devin Nunes: Unfit to Serve,philarballo2020,Devin Nunes
https://www.facebook.com/repgaramendi/posts/,Congressman John Garamendi - Posts | Facebook,repgaramendi,John Garamendi
https://www.facebook.com/JoeCunninghamSC/videos/joe-cunningham-cheers/341363290217910/,Joe Cunningham - Joe Cunningham - Cheers,JoeCunninghamSC,Joe Cunningham
https://www.facebook.com/RepRichHudson/posts/1563031360501094,,RepRichHudson,Richard Hudson
https://www.facebook.com/reploritrahan,Congresswoman Lori Trahan - Home | Facebook,reploritrahan,Lori Trahan
https://www.facebook.com/repcuellar/,U.S. Congressman Henry Cuellar (TX-28) - Home | Facebook,repcuellar,Henry Cuellar
https://www.facebook.com/RepRiggleman/,Congressman Denver Riggleman - Home | Facebook,RepRiggleman,Denver Riggleman
https://www.facebook.com/RepFrenchHill/videos/rep-french-hill-pushes-for-small-business-relief-on-the-house-floor/3861679107194122/,Rep. French Hill Pushes for Small Business Relief on the ...,RepFrenchHill,French Hill
https://www.facebook.com/repmaxrose,Congressman Max Rose - Home | Facebook,repmaxrose,Max Rose
https://www.facebook.com/RepGolden/,Congressman Jared Golden - Home | Facebook,RepGolden,Jared Golden
https://www.facebook.com/BabinForCongress/,,BabinForCongress,Brian Babin
https://www.facebook.com/austinscottentertainment/,,austinscottentertainment,Austin Scott
https://www.facebook.com/hoyerforcongress/,,hoyerforcongress,Steny Hoyer
https://www.facebook.com/paul.tonko/,Paul Tonko for Congress - Home | Facebook,paul.tonko,Paul Tonko
https://www.facebook.com/RepDonBeyer,Congressman Don Beyer - Home | Facebook,RepDonBeyer,Don Beyer
https://www.facebook.com/RepJimmyPanetta/posts/happy-mothers-day-feeling-especially-thankful-today-for-the-wonderful-women-in-m/436206233495181/,,RepJimmyPanetta,Jimmy Panetta
https://www.facebook.com/USABrad/,,USABrad,Brad Wenstrup
https://www.facebook.com/MikieSherrillForCongress/,Mikie Sherrill - Home | Facebook,MikieSherrillForCongress,Mikie Sherrill
