url,title,text,path,qry
https://www.youtube.com/watch?v=14VzCgn1hX0,Doug Collins on whether voters will be impacted by Biden ...,Fox News,watch,Doug Collins
https://www.youtube.com/watch?v=D7UQHq5dP-8,Chief of Staff Mark Meadows on Trump's RNC speech ...,CBS This Morning,watch,Mark Meadows
https://www.youtube.com/watch?v=mxPdaThxisM,"Rep. Conor Lamb (PA-17) Floor Speech (Jan. 7, 2021)",,watch,Conor Lamb
https://www.youtube.com/watch?v=oivugWsMaPw,Ben McAdams and Burgess Owens debate for the 4th ...,abc4utah,watch,Ben McAdams
https://www.youtube.com/watch?v=QPM9ePVc-As,Rep. Adam Schiff: Protecting Our Democracy | Real Time with ...,Real Time with Bill Maher,watch,Adam Schiff
https://www.youtube.com/watch?v=ArVom2i2xdM,Alma Adams honors John Lewis on House Floor,WCNC,watch,Alma Adams
https://www.youtube.com/watch?v=_VJsVh0Xyj8,Steve Scalise delivers speech at 2020 RNC,ABC News,watch,Steve Scalise
https://www.youtube.com/watch?v=_JJpXGBFmeM,WATCH: Rep. Tom McClintock's full statement against second ...,PBS NewsHour,watch,Tom McClintock
https://www.youtube.com/watch?v=PwqFQ__rLYA,The Dwight Evans Story: Part 1 | Red Sox Bios,Boston Red Sox,watch,Dwight Evans
https://www.youtube.com/watch?v=1VduFZwK-U8,"Rep. Andy Barr, Democratic challenger Josh Hicks take part in ...",LEX18 News,watch,Andy Barr
https://www.youtube.com/watch?v=lcTw54KOQzA,WATCH: Rep. Matt Gaetz!,,watch,Matt Gaetz
https://m.youtube.com/watch?v=2oaCTF3v_to,Rep. Louie Gohmert tests positive for Covid-19,CNN,watch,Louie Gohmert
https://www.youtube.com/watch?v=zXYW65qV0ks,Two Brothers Alone in the Wilderness - E.1 - Pending Danger ...,Jim Baird - Adventurer,watch,Jim Baird
https://www.youtube.com/watch?v=M49bJWasNRE,WATCH: Rep. Jeff Van Drew's full speech at the Republican ...,PBS NewsHour,watch,Jeff Van Drew
https://www.youtube.com/watch?v=boCx4oQEpJs,WATCH: Alabama Congressman Bradley Byrne endorses ...,,watch,Bradley Byrne
https://www.youtube.com/watch?v=pRz3WQiadqs,Rep. Angie Craig Sues to Require 2nd District Race Be ...,Lakeland PBS,watch,Angie Craig
https://www.youtube.com/watch?v=ZAJjMlFCLgQ,Arizona Congressional District 9 debate 2020 Rep. Greg ...,azcentral.com and The...,watch,Greg Stanton
https://www.youtube.com/watch?v=du18QH0qZrw,Rep. Joyce Beatty Rips Mark Zuckerberg a New One,Karen Hunter Show,watch,Joyce Beatty
https://www.youtube.com/watch?v=G93Sa_ICAlQ,Hedge fund titan Steve Cohen in exclusive talks to buy the ...,CNBC Television,watch,Steve Cohen
https://www.youtube.com/watch?v=ZvQErakUChM,'Lock her up': Trump crowd chants against Ilhan Omar,Sky News Australia,watch,Ilhan Omar
https://www.youtube.com/watch?v=k7qlPG1aRC4,A Lifestyle of Peace - Bill Johnson (Full Sermon ... - YouTube,,watch,Bill Johnson
https://www.youtube.com/watch?v=s4lLwjl0vx0,The King of Caveat knights Rep. Ted Yoho,The Late Show with Stephen...,watch,Ted Yoho
https://www.youtube.com/watch?v=iMDgDh2bh5I,Abide and Listen - Bill Johnson (Full Sermon) | Bethel Church ...,,watch,Bill Johnson
https://www.youtube.com/watch?v=I5WiMn5DOxM,,,watch,G. K. Butterfield
https://www.youtube.com/watch?v=gHAuWMTgU2w,Representative Ben McAdams speaks on 4th congressional ...,abc4utah,watch,Ben McAdams
https://www.youtube.com/watch?v=Qk6U0bshxHo,Congresswoman Joyce Beatty addresses importance of ...,WSYX ABC 6,watch,Joyce Beatty
https://www.youtube.com/watch?v=NqAlRlalnl8,Gay USA Villain of the Week: Andy Biggs,Free Speech TV,watch,Andy Biggs
https://www.youtube.com/watch?v=Q-j4W_ZFsN0,Rep. Maxine Waters remembers John Lewis | PRIME,ABC News,watch,Maxine Waters
https://www.youtube.com/watch?v=Pc7LJjXMwjQ,Rashida Tlaib Calls Trump a 'Racist in Chief' as House Begins ...,Bloomberg Quicktake: Now,watch,Rashida Tlaib
https://www.youtube.com/watch?v=I2pnTWlp76k,Rep. Nunes BLASTS Adam Schiff for His “Sick Fantasies” of ...,BlazeTV,watch,Adam Schiff
https://www.youtube.com/watch?v=dVIjr085xYw,Guam Congressman Michael San Nicolas responds to ...,kuamnews,watch,Michael San Nicolas
https://www.youtube.com/watch?v=QAf4qBHN4Ds,The Devil's Tactics - Bill Johnson (Full Sermon ... - YouTube,,watch,Bill Johnson
https://www.youtube.com/watch?v=gtkrcm53cSg,Jim Jordan: Trump-Russia probe corruption was 'much worse ...,Fox Business,watch,Jim Jordan
https://www.youtube.com/watch?v=9hVSF2cs_8M,"Beyond ""Sugar, Sugar"": The rise of Andy Kim | Inducted",CBC Music,watch,Andy Kim
https://www.youtube.com/watch?v=JCpbg_ycAlU,WATCH: Rep. Doug Collins' full questioning of committee ...,PBS NewsHour,watch,Doug Collins
https://www.youtube.com/watch?v=lMX56U1U188,,,watch,Susie Lee
https://www.youtube.com/watch?v=vOJA_CG-CXE,Joe Cunningham - 5 Brothers,Joe Cunningham,watch,Joe Cunningham
https://www.youtube.com/watch?v=emeZbDR3z8Q,Congressman Rodney Davis answers questions during a ...,KMOV St. Louis,watch,Rodney Davis
https://www.youtube.com/watch?v=FuDPaQSYNjU,Wisdom & Power | Bill Johnson | Kingdom Foundations ...,,watch,Bill Johnson
https://www.youtube.com/watch?v=CwQzXmn42DY,"Doug Collins on Durham probe: I want to see indictments, not ...",Fox Business,watch,Doug Collins
https://www.youtube.com/watch?v=r9Zjj9DJMIA,Rep. Alexandria Ocasio-Cortez speak at 2020 DNC,ABC News,watch,Alexandria Ocasio-Cortez
https://www.youtube.com/watch?v=Uvfr49WjOSo,Rep. Schiff on CNN: Trump Knew the Virus was Deadly and ...,Rep. Adam Schiff,watch,Adam Schiff
https://www.youtube.com/watch?v=lSGcR-Zmq2k,,,watch,Anna Eshoo
https://www.youtube.com/watch?v=Z5cRBtzS8qA,,,watch,Mike Kelly
https://www.youtube.com/watch?v=jnb37q398Xk,Strategies for Transformation - Bill Johnson (Full ... - YouTube,,watch,Bill Johnson
https://www.youtube.com/watch?v=U7iHL9HWWXI,Rep. Schiff on KTLA: White House Cannot Be Trusted to be ...,Rep. Adam Schiff,watch,Adam Schiff
https://www.youtube.com/watch?v=l60AoLPLZVw,"Devin Nunes warns Dems will leak, politicize in-person intel ...",Fox Business,watch,Devin Nunes
https://www.youtube.com/watch?v=YeQ8tZsLP9w,Mike Johnson Gets Raw About Sex and Dating | Just The Sip ...,E! News,watch,Mike Johnson
https://www.youtube.com/watch?v=R5KOfcpNEd4,Congressman Adam Kinzinger: Country First | Real Time with ...,Real Time with Bill Maher,watch,Adam Kinzinger
https://www.youtube.com/watch?v=-tBokFra4Ks,,,watch,Bill Johnson
https://www.youtube.com/watch?v=MJ7W7PCDz6c,House Speaker Nancy Pelosi holds weekly news conference,,watch,Nancy Pelosi
https://www.youtube.com/watch?v=18n6t_PzFNE,Rep. Max Rose: Don't defund the police,ABC News,watch,Max Rose
https://www.youtube.com/watch?v=8QzUyRtEv1Q,Abigail Spanberger Addresses Seventh District Following ...,Abigail Spanberger for...,watch,Abigail Spanberger
https://www.youtube.com/watch?v=nsElFTNt7Mc,"Debate Between Rep. Jim Hagedorn, Challenger Dan Feehan ...",WCCO - CBS Minnesota,watch,Jim Hagedorn
https://www.youtube.com/watch?v=iKT3jPA7YBU,Congresswoman Jahana Hayes 2019 John F Kennedy Jr ...,Watson Institute for...,watch,Jahana Hayes
https://www.youtube.com/watch?v=6LxDPeKv-DI,Speaker Nancy Pelosi: Trump Made “terrible mistake” Calling ...,The View,watch,Nancy Pelosi
https://www.youtube.com/watch?v=R6reyiSpKuw,Everything Alexandria Ocasio-Cortez Does In a Day | Vanity Fair,Vanity Fair,watch,Alexandria Ocasio-Cortez
https://www.youtube.com/watch?v=C311uQQS8no,Jahana Hayes on Her Path From Classroom to Congress,Education Week,watch,Jahana Hayes
https://www.youtube.com/watch?v=_mbp4RoIeho,Ken Buck shares his love for the history in the nation's capital,IITV,watch,Ken Buck
https://www.youtube.com/watch?v=vfnuTABkW9Y,,,watch,Anna Eshoo
https://www.youtube.com/watch?v=vOJA_CG-CXE&feature=youtu.be,Joe Cunningham - 5 Brothers,Joe Cunningham,watch,Joe Cunningham
https://www.youtube.com/watch?v=DQpbN4qv8Q4,Dr Raul Ruiz discusses why he should be reelected for the ...,KESQ NewsChannel 3,watch,Raul Ruiz
https://www.youtube.com/watch?v=3neXgZks2G4,Mike Johnson Explains How The Aftermath Of Bachelorette ...,PeopleTV,watch,Mike Johnson
https://www.youtube.com/watch?v=9gJJSQhuIhk,Rep. Tom Reed discusses stimulus negotiations: Now is the ...,CNBC Television,watch,Tom Reed
https://www.youtube.com/watch?v=SBEDWh0m_KY,Greg Murphy on Supreme Court,WNCT-TV 9 On Your Side,watch,Greg Murphy
https://www.youtube.com/watch?v=Aohju1Iyurg,Choose Your War - - Bill Johnson (Full Sermon ... - YouTube,,watch,Bill Johnson
https://www.youtube.com/watch?v=CdTH9wnrS_I,,,watch,Adriano Espaillat
https://www.youtube.com/watch?v=r1HhzyoSy4Y,Rep. Michael Waltz discusses COVID relief and going ...,Rep. Michael Waltz,watch,Michael Waltz
https://www.youtube.com/watch?v=d0ldvl49nGQ,Rep. Ro Khanna: This exposes a deep flaw in our financial ...,,watch,Ro Khanna
https://www.youtube.com/watch?v=C9qsSTJsmh8,Ro Khanna On His Rebuke Of Pelosi: We Need Stimulus NOW!,Rebel HQ,watch,Ro Khanna
https://www.youtube.com/watch?v=2bLoSuAehFQ,Iowa Rep. Abby Finkenauer Sheds Light on Endometriosis ...,NowThis News,watch,Abby Finkenauer
https://www.youtube.com/watch?v=U4QY7tHjyus,Congressman Clay Higgins speaks to arsonist,KATC,watch,Clay Higgins
https://www.youtube.com/watch?v=RTGBJMDcras,Rep. Dan Crenshaw: Fortitude | Real Time with Bill Maher (HBO),Real Time with Bill Maher,watch,Dan Crenshaw
https://www.youtube.com/watch?v=5iFDiliJcFU,WATCH LIVE: House Speaker Nancy Pelosi holds news event ...,PBS NewsHour,watch,Nancy Pelosi
https://www.youtube.com/watch?v=VbeJe7fqIaI,Rep. Mo Brooks Quotes Hitler's 'Mein Kampf' To Slam ...,,watch,Mo Brooks
https://www.youtube.com/watch?v=ejiTq5UxMH8,'Put Your Mask On' Rep. Jim Jordan Scolded Over Mask | NBC ...,NBC News,watch,Jim Jordan
https://www.youtube.com/watch?v=5aIfnAvCb-g,Congressman David Scott Announces the Thirteenth District's ...,RepDavidScott,watch,David Scott
https://www.youtube.com/watch?v=BfQB2upbqY4,"Rep. Maxine Waters, Rep. Joyce Beatty & AOC Grill Facebook ...",Roland S. Martin,watch,Joyce Beatty
https://m.youtube.com/watch?v=WolVEMFbUcs,,,watch,Billy Long
https://www.youtube.com/watch?v=I8qGB1dsZM0,Trump calls Rep. Roger Marshall,KMBC 9,watch,Roger Marshall
https://www.youtube.com/watch?v=qYvW4pm0_fI,Katie Porter lambasts big pharma over cancer drug price hike ...,Guardian News,watch,Katie Porter
https://www.youtube.com/watch?v=VLe9EpU41kA,House Speaker Nancy Pelosi holds her weekly news ...,CNBC Television,watch,Nancy Pelosi
https://www.youtube.com/watch?v=y6E_BUg4Ob8,,,watch,Yvette Clarke
https://www.youtube.com/watch?v=pOvExRTjqM8,Two Brothers Alone in the Wilderness - E.4 - Emergency ...,Jim Baird - Adventurer,watch,Jim Baird
https://www.youtube.com/watch?v=1iIBF9pBoxA,,,watch,Kevin McCarthy
https://www.youtube.com/watch?v=j-N_bKGQ7Ck,"""Me, Me, Me!"" with Pastor Mike Thompson",Sacramento Central...,watch,Mike Thompson
https://www.youtube.com/watch?v=ccdKR0NL4fE,WATCH: Rep. Mike Johnson says Trump has 'lawful cause' to ...,PBS NewsHour,watch,Mike Johnson
https://www.youtube.com/channel/UCmYveHBVXVBRxl7GiCL-gjw,Steve Scalise - YouTube,,channel,Steve Scalise
https://www.youtube.com/watch?v=EVqj3QUk0dc,New Hampshire Rep. Chris Pappas weighs in on the state's ...,CBS News,watch,Chris Pappas
https://www.youtube.com/watch?v=dv7b_7W5IAw,Rep Ilhan Omar: 'My Life Is An Example Of What Can Happen ...,MSNBC,watch,Ilhan Omar
