"location","hits","keyword","geo","gprop"
"Oregon",12,"Mo Brooks","US","web"
"Colorado",12,"Mo Brooks","US","web"
"Connecticut",12,"Mo Brooks","US","web"
"Iowa",11,"Mo Brooks","US","web"
"Florida",11,"Mo Brooks","US","web"
"Nevada",11,"Mo Brooks","US","web"
"New York",10,"Mo Brooks","US","web"
"Indiana",10,"Mo Brooks","US","web"
"Wisconsin",10,"Mo Brooks","US","web"
"Ohio",10,"Mo Brooks","US","web"
"Utah",9,"Mo Brooks","US","web"
"Michigan",9,"Mo Brooks","US","web"
"Oklahoma",9,"Mo Brooks","US","web"
"California",9,"Mo Brooks","US","web"
"Pennsylvania",9,"Mo Brooks","US","web"
"Washington",9,"Mo Brooks","US","web"
"Mississippi",8,"Mo Brooks","US","web"
"Texas",8,"Mo Brooks","US","web"
"Kentucky",8,"Mo Brooks","US","web"
"Alaska",NA,"Mo Brooks","US","web"
"Rhode Island",NA,"Mo Brooks","US","web"
"New Mexico",NA,"Mo Brooks","US","web"
"New Hampshire",NA,"Mo Brooks","US","web"
"Nebraska",NA,"Mo Brooks","US","web"
"Vermont",NA,"Mo Brooks","US","web"
"North Dakota",NA,"Mo Brooks","US","web"
"Montana",NA,"Mo Brooks","US","web"
"Hawaii",NA,"Mo Brooks","US","web"
"Wyoming",NA,"Mo Brooks","US","web"
"Alabama",100,"Gary Palmer","US","web"
"Ohio",18,"Gary Palmer","US","web"
"Massachusetts",17,"Gary Palmer","US","web"
"Georgia",16,"Gary Palmer","US","web"
"Wisconsin",15,"Gary Palmer","US","web"
"Tennessee",15,"Gary Palmer","US","web"
"Minnesota",14,"Gary Palmer","US","web"
"Pennsylvania",13,"Gary Palmer","US","web"
"Virginia",12,"Gary Palmer","US","web"
"Michigan",11,"Gary Palmer","US","web"
"New Jersey",10,"Gary Palmer","US","web"
"Illinois",9,"Gary Palmer","US","web"
"Texas",8,"Gary Palmer","US","web"
"New York",7,"Gary Palmer","US","web"
"Florida",7,"Gary Palmer","US","web"
"California",4,"Gary Palmer","US","web"
"Alaska",NA,"Gary Palmer","US","web"
"Wyoming",NA,"Gary Palmer","US","web"
"Louisiana",NA,"Gary Palmer","US","web"
"Kansas",NA,"Gary Palmer","US","web"
"Maryland",NA,"Gary Palmer","US","web"
"Maine",NA,"Gary Palmer","US","web"
"Indiana",NA,"Gary Palmer","US","web"
"Idaho",NA,"Gary Palmer","US","web"
"Missouri",NA,"Gary Palmer","US","web"
"Mississippi",NA,"Gary Palmer","US","web"
"Montana",NA,"Gary Palmer","US","web"
"North Carolina",NA,"Gary Palmer","US","web"
"North Dakota",NA,"Gary Palmer","US","web"
"Nebraska",NA,"Gary Palmer","US","web"
"New Hampshire",NA,"Gary Palmer","US","web"
"Iowa",NA,"Gary Palmer","US","web"
"New Mexico",NA,"Gary Palmer","US","web"
"Nevada",NA,"Gary Palmer","US","web"
"Hawaii",NA,"Gary Palmer","US","web"
"Delaware",NA,"Gary Palmer","US","web"
"Oklahoma",NA,"Gary Palmer","US","web"
"Oregon",NA,"Gary Palmer","US","web"
"District of Columbia",NA,"Gary Palmer","US","web"
"Rhode Island",NA,"Gary Palmer","US","web"
"South Carolina",NA,"Gary Palmer","US","web"
"South Dakota",NA,"Gary Palmer","US","web"
"Connecticut",NA,"Gary Palmer","US","web"
"Colorado",NA,"Gary Palmer","US","web"
"Utah",NA,"Gary Palmer","US","web"
"Arizona",NA,"Gary Palmer","US","web"
"Vermont",NA,"Gary Palmer","US","web"
"Washington",NA,"Gary Palmer","US","web"
"Arkansas",NA,"Gary Palmer","US","web"
"West Virginia",NA,"Gary Palmer","US","web"
"Kentucky",NA,"Gary Palmer","US","web"
"Alabama",100,"Terri Sewell","US","web"
"District of Columbia",61,"Terri Sewell","US","web"
"Florida",3,"Terri Sewell","US","web"
"California",2,"Terri Sewell","US","web"
"Alaska",NA,"Terri Sewell","US","web"
"Wyoming",NA,"Terri Sewell","US","web"
"Connecticut",NA,"Terri Sewell","US","web"
"Arizona",NA,"Terri Sewell","US","web"
"Delaware",NA,"Terri Sewell","US","web"
"Arkansas",NA,"Terri Sewell","US","web"
"Georgia",NA,"Terri Sewell","US","web"
"Hawaii",NA,"Terri Sewell","US","web"
"Iowa",NA,"Terri Sewell","US","web"
"Idaho",NA,"Terri Sewell","US","web"
"Illinois",NA,"Terri Sewell","US","web"
"Indiana",NA,"Terri Sewell","US","web"
"Kansas",NA,"Terri Sewell","US","web"
"Kentucky",NA,"Terri Sewell","US","web"
"Louisiana",NA,"Terri Sewell","US","web"
"Massachusetts",NA,"Terri Sewell","US","web"
"Maryland",NA,"Terri Sewell","US","web"
"Maine",NA,"Terri Sewell","US","web"
"Michigan",NA,"Terri Sewell","US","web"
"Minnesota",NA,"Terri Sewell","US","web"
"Missouri",NA,"Terri Sewell","US","web"
"Mississippi",NA,"Terri Sewell","US","web"
"Montana",NA,"Terri Sewell","US","web"
"North Carolina",NA,"Terri Sewell","US","web"
"North Dakota",NA,"Terri Sewell","US","web"
"Nebraska",NA,"Terri Sewell","US","web"
"New Hampshire",NA,"Terri Sewell","US","web"
"New Jersey",NA,"Terri Sewell","US","web"
"New Mexico",NA,"Terri Sewell","US","web"
"Nevada",NA,"Terri Sewell","US","web"
"New York",NA,"Terri Sewell","US","web"
"Ohio",NA,"Terri Sewell","US","web"
"Oklahoma",NA,"Terri Sewell","US","web"
"Oregon",NA,"Terri Sewell","US","web"
"Pennsylvania",NA,"Terri Sewell","US","web"
"Rhode Island",NA,"Terri Sewell","US","web"
"South Carolina",NA,"Terri Sewell","US","web"
